date,open,high,low,close,CI,trend,trend_in_progress,Volatility,Volatility_median,Volatility_status,Volatility_Trend,typical_spread_in_points,weighted_avg_execution_spread_$,PnL_per_lot,total_profit,total_volume
2020-05-28,1.22576,1.23442,1.22334,1.23204,56.76474778369715,0.0,0.5,0.009057171350564828,0.007757168477642727,High_Volatility,High Volatility + No Trend,,,0.637701,2005.729439,3145.25
2020-05-29,1.23168,1.23936,1.22901,1.2345,61.44172521921018,0.0,0.0,0.008421412356286835,0.007785449213462123,High_Volatility,High Volatility + No Trend,,,3.530524,9862.060021,2793.37
2020-06-01,1.23198,1.25064,1.23189,1.24874,49.8665705798453,1.0,0.5,0.015220514818693265,0.007895711787204947,High_Volatility,High Volatility + Trend,,,-7.01116,-25131.22163,3584.46
2020-06-02,1.24917,1.25754,1.24778,1.2551,44.06855942636644,1.0,0.5,0.007821891679623182,0.007903778820457556,Low_Volatility,Low Volatility + Trend,,,-47.220457,-157380.5892,3332.89
2020-06-03,1.25478,1.26148,1.25429,1.2575,41.02097675043172,1.0,0.5,0.005732326654920338,0.007903778820457556,Low_Volatility,Low Volatility + Trend,,,-39.363627,-129022.1613,3277.7
2020-06-04,1.25733,1.26328,1.25004,1.25939,39.51790332934038,1.0,0.0,0.010591661066845795,0.007903778820457556,High_Volatility,High Volatility + Trend,,,-8.227047,-27479.15969,3340.1
2020-06-05,1.25931,1.27312,1.25821,1.2666,38.275670230197214,1.0,0.0,0.01185016809594581,0.007992538523796121,High_Volatility,High Volatility + Trend,,,-25.692117,-94056.52737,3660.91
2020-06-08,1.26654,1.27354,1.26278,1.27233,37.63110464602871,1.0,0.0,0.008520882497347029,0.008009322358480685,High_Volatility,High Volatility + Trend,,,-43.977893,-135700.3848,3085.65
2020-06-09,1.27222,1.27553,1.26177,1.27263,36.35417501456576,1.0,0.0,0.010905315548792564,0.008009322358480685,High_Volatility,High Volatility + Trend,,,-18.44731,-56679.9145,3072.53
2020-06-10,1.2725,1.2813,1.27058,1.27448,33.02714093856494,1.0,0.0,0.00843709172189084,0.008080427078139548,High_Volatility,High Volatility + Trend,,,-15.783396,-52939.56271,3354.13
2020-06-11,1.2744,1.2754,1.25857,1.25998,33.39216922426923,1.0,0.0,0.013372319378342185,0.008080427078139548,High_Volatility,High Volatility + Trend,,,-10.598101,-40741.00658,3844.18
2020-06-12,1.25977,1.26531,1.24732,1.25377,35.385715709925265,1.0,0.0,0.014422922746368173,0.008144477027574069,High_Volatility,High Volatility + Trend,,,-77.880148,-284935.4239,3658.64
2020-06-15,1.251,1.26051,1.24538,1.26051,37.116363092484086,1.0,0.0,0.012148902343060021,0.008144477027574069,High_Volatility,High Volatility + Trend,,,-8.982306,-34172.46338,3804.42
2020-06-16,1.2604,1.26872,1.25515,1.2572,39.42995925142411,1.0,0.0,0.010811456797992338,0.008153880048641303,High_Volatility,High Volatility + Trend,,,-26.23771,-93213.13687,3552.64
2020-06-17,1.25711,1.25882,1.25104,1.25543,43.720010334331846,0.0,0.0,0.006218825936820662,0.008153880048641303,Low_Volatility,Low Volatility + No Trend,,,-3.287429,-12051.81394,3666.03
2020-06-18,1.25317,1.25669,1.24013,1.24201,46.43437337012773,0.0,0.0,0.013353438752388968,0.00816359705300031,High_Volatility,High Volatility + No Trend,,,4.447593,14126.71156,3176.26
2020-06-19,1.24146,1.24556,1.23437,1.23468,48.721148298140974,0.0,0.0,0.009065353176114158,0.008187996024733591,High_Volatility,High Volatility + No Trend,,,-6.875527,-27025.0134,3930.61
2020-06-22,1.23421,1.24766,1.23349,1.2468,48.47012522544735,0.0,0.0,0.011487729937008015,0.008225208368513919,High_Volatility,High Volatility + No Trend,,,-21.10847,-71430.21844,3383.96
2020-06-23,1.24585,1.25316,1.24316,1.25202,48.967645746950375,0.0,0.0,0.008044016860259346,0.008225208368513919,Low_Volatility,Low Volatility + No Trend,,,-13.978357,-53890.20102,3855.26
2020-06-24,1.25128,1.25421,1.24139,1.24196,49.46163442156678,0.0,0.0,0.01032713329413001,0.00824900266265418,High_Volatility,High Volatility + No Trend,,,-2.698364,-10734.06472,3977.99
2020-06-25,1.24146,1.24642,1.23883,1.24171,49.841849543811534,0.0,0.0,0.006126748625719417,0.008225208368513919,Low_Volatility,Low Volatility + No Trend,,,7.53523,39496.58823,5241.59
2020-06-26,1.24217,1.24365,1.2314,1.23335,48.62604201591724,0.0,0.0,0.009948026636348768,0.00824900266265418,High_Volatility,High Volatility + No Trend,,,11.705877,56547.81245,4830.72
2020-06-29,1.23199,1.23892,1.22509,1.22954,44.410229551784006,0.0,0.0,0.011288966524908382,0.00827356596619099,High_Volatility,High Volatility + No Trend,,,-25.438637,-110054.4108,4326.27
2020-06-30,1.22872,1.24014,1.22573,1.23996,48.89697901820509,0.0,0.0,0.011756259535134192,0.0083100269336149,High_Volatility,High Volatility + No Trend,,,-44.301081,-251675.7685,5681.03
2020-07-01,1.2393,1.249,1.23589,1.2474,54.38127891122666,0.0,0.0,0.010607740171050966,0.008340403151000606,High_Volatility,High Volatility + No Trend,,,-8.628058,-47340.77138,5486.84
2020-07-02,1.24653,1.25296,1.24559,1.24679,54.10735520299024,0.0,0.0,0.005916874734061849,0.008340403151000606,Low_Volatility,Low Volatility + No Trend,,,-12.026294,-72819.69148,6055.04
2020-07-03,1.24558,1.24989,1.24373,1.24767,53.73886558784142,0.0,0.0,0.004952843462809406,0.008340403151000606,Low_Volatility,Low Volatility + No Trend,,,-26.540234,-138572.9321,5221.24
2020-07-06,1.24694,1.25198,1.24659,1.24918,63.01593500874557,0.0,0.0,0.004323795313615548,0.0083100269336149,Low_Volatility,Low Volatility + No Trend,,,-5.148068,-17241.96061,3349.21
2020-07-07,1.24898,1.25918,1.24624,1.25432,62.26293849943272,0.0,0.0,0.010383232764154537,0.008340403151000606,High_Volatility,High Volatility + No Trend,,,-8.920659,-41677.49692,4672.02
2020-07-08,1.25334,1.26227,1.25081,1.26092,58.44547342261663,0.0,0.0,0.009162062983186916,0.008340403151000606,High_Volatility,High Volatility + No Trend,,,-39.85273,-246984.9045,6197.44
2020-07-09,1.26077,1.26693,1.25998,1.26051,53.48629375520952,0.0,0.5,0.0055159605708025436,0.008340403151000606,Low_Volatility,Low Volatility + No Trend,,,4.848754,25856.5605,5332.62
2020-07-10,1.26022,1.26638,1.25662,1.26189,52.85406467000276,0.0,0.5,0.007766866674093991,0.008340403151000606,Low_Volatility,Low Volatility + No Trend,,,-19.530864,-110353.4844,5650.21
2020-07-13,1.26141,1.26658,1.25499,1.25531,52.19120555259821,0.0,0.5,0.009235133347676068,0.008355097382477795,High_Volatility,High Volatility + No Trend,,,12.357556,57576.07743,4659.18
2020-07-14,1.25553,1.25632,1.24793,1.25542,51.449876911274025,0.0,0.5,0.00672313350909115,0.008355097382477795,Low_Volatility,Low Volatility + No Trend,,,7.6772,43191.84972,5625.99
2020-07-15,1.25544,1.26492,1.25496,1.25872,50.85788910952171,0.0,0.5,0.007936507936507912,0.008355097382477795,Low_Volatility,Low Volatility + No Trend,,,-14.088736,-78527.93989,5573.81
2020-07-16,1.2575,1.26242,1.25194,1.2554,50.20048278802923,0.0,0.5,0.008371008195280959,0.00836145178550959,High_Volatility,High Volatility + No Trend,,,6.176721,33131.31338,5363.9
2020-07-17,1.25477,1.25742,1.25114,1.2566,49.98194696124917,0.0,0.5,0.005019422286874422,0.008355097382477795,Low_Volatility,Low Volatility + No Trend,,,-16.699225,-114501.4063,6856.69
2020-07-20,1.25449,1.2665,1.25177,1.26605,59.83105559730836,0.0,0.0,0.011767337450170485,0.008355097382477795,High_Volatility,High Volatility + No Trend,,,7.365091,29057.93569,3945.36
2020-07-21,1.26489,1.27674,1.26489,1.27329,56.64317197123122,0.0,0.5,0.009368403576595526,0.008355097382477795,High_Volatility,High Volatility + No Trend,,,-24.768923,-139459.6844,5630.43
2020-07-22,1.27279,1.27431,1.26437,1.27345,56.014576403550734,0.0,0.5,0.007861622784469783,0.008355097382477795,Low_Volatility,Low Volatility + No Trend,,,-111.709286,-792685.7437,7095.97
2020-07-23,1.27193,1.27598,1.26729,1.27403,58.59009601793087,0.0,0.0,0.006857151875261277,0.008355097382477795,Low_Volatility,Low Volatility + No Trend,,,-9.176404,-46358.09042,5051.88
2020-07-24,1.273,1.28029,1.27166,1.27927,54.209863354338886,1.0,0.5,0.006786405171193491,0.008355097382477795,Low_Volatility,Low Volatility + Trend,,,-3.12574,-14360.05375,4594.13
2020-07-27,1.27889,1.29024,1.278,1.28789,45.65840533672775,1.0,0.5,0.009577464788732417,0.00836145178550959,High_Volatility,High Volatility + Trend,,,-16.998294,-73165.07719,4304.26
2020-07-28,1.28822,1.29524,1.28378,1.29327,41.20014559299735,1.0,0.5,0.008926763152565102,0.00836739413449918,High_Volatility,High Volatility + Trend,,,-63.925041,-280368.1989,4385.89
2020-07-29,1.29254,1.30131,1.29115,1.29951,36.54316355711272,1.0,0.0,0.007868954033226152,0.00836739413449918,Low_Volatility,Low Volatility + Trend,,,-38.933332,-184364.9001,4735.4
2020-07-30,1.2984,1.31025,1.29442,1.30975,30.79513893725837,1.0,0.0,0.012229415491107995,0.00836739413449918,High_Volatility,High Volatility + Trend,,,-19.806786,-110112.2629,5559.32
2020-07-31,1.30889,1.317,1.30701,1.30794,26.95612656203324,1.0,0.0,0.007643399820965366,0.00836739413449918,Low_Volatility,Low Volatility + Trend,,,-26.369798,-155905.6291,5912.28
2020-08-03,1.30747,1.31123,1.30046,1.30729,28.94765779065965,1.0,0.0,0.008281684942251162,0.00836739413449918,Low_Volatility,Low Volatility + Trend,,,-13.223694,-71208.53625,5384.92
2020-08-04,1.30707,1.31074,1.2981,1.30699,29.140897708897057,1.0,0.0,0.009737308373777046,0.008384818292481956,High_Volatility,High Volatility + Trend,,,-18.858607,-107910.0787,5722.06
2020-08-05,1.30522,1.31613,1.30515,1.3113,29.37614892846197,1.0,0.0,0.008412826111941147,0.00840572725081205,High_Volatility,High Volatility + Trend,,,-13.853243,-82971.91893,5989.35
