date,open,high,low,close,TR,ATR,CI,trend
2015.09.28,1.51905,1.52411,1.5157,1.51736,0.008410000000000029,0.012024999999999952,43.40373154131255,0
2015.09.29,1.51737,1.52049,1.51289,1.51461,0.007599999999999829,0.012177142857142807,42.982499985813256,0
2015.09.30,1.51462,1.52136,1.51071,1.51256,0.010650000000000048,0.011959285714285681,41.32571451620045,0
2015.10.01,1.5127,1.51799,1.51071,1.51307,0.007279999999999953,0.01203571428571426,41.39706381885665,0
2015.10.02,1.51307,1.52367,1.51264,1.5174,0.011030000000000095,0.012120714285714262,41.554118390134036,0
2015.10.05,1.51964,1.52441,1.51359,1.51452,0.010820000000000052,0.011985714285714266,41.90870238242422,0
2015.10.06,1.51452,1.52427,1.51397,1.5222,0.010299999999999976,0.011302857142857123,42.00861883156482,0
2015.10.07,1.5222,1.53393,1.52182,1.5316,0.012110000000000065,0.011149285714285704,42.01736519373322,0
2015.10.08,1.5316,1.53721,1.52611,1.53435,0.011099999999999888,0.010907142857142846,48.74563742124792,0
2015.10.09,1.53434,1.53833,1.52996,1.53275,0.008369999999999989,0.01088285714285713,51.98944073279493,0
2015.10.12,1.53141,1.53728,1.53096,1.53482,0.006319999999999881,0.009988571428571411,67.48983422876204,0
2015.10.13,1.53481,1.53874,1.52001,1.52468,0.018729999999999913,0.01029357142857141,66.40354587178831,0
2015.10.14,1.5247,1.5494,1.5247,1.54744,0.024720000000000075,0.011427857142857132,53.9580840754329,0
2015.10.15,1.54767,1.55088,1.54144,1.5452,0.009440000000000115,0.011205714285714279,52.241442502934326,0
2015.10.16,1.54379,1.54859,1.54299,1.54333,0.005599999999999827,0.011004999999999978,51.99828459293313,0
2015.10.19,1.5435,1.54963,1.54271,1.54625,0.006920000000000037,0.010956428571428565,51.705212232250496,0
2015.10.20,1.54626,1.55058,1.54354,1.54439,0.007040000000000157,0.01069857142857143,51.40013824333863,0
2015.10.21,1.54439,1.54772,1.54104,1.54104,0.006680000000000019,0.010655714285714293,52.92911441598589,0
2015.10.22,1.5412,1.55083,1.53689,1.53925,0.013939999999999841,0.010863571428571417,53.57294309005894,0
2015.10.23,1.53919,1.54187,1.53057,1.53064,0.011300000000000088,0.010897857142857134,53.691249774159154,0
2015.10.26,1.53057,1.53817,1.53049,1.53508,0.007680000000000131,0.010710714285714287,60.31484332346757,0
2015.10.27,1.53487,1.53584,1.52823,1.53031,0.007610000000000117,0.01038928571428572,60.124458036986994,0
2015.10.28,1.53032,1.53473,1.52484,1.52665,0.009889999999999954,0.010302857142857154,59.972394624424,0
2015.10.29,1.52664,1.53215,1.52423,1.53112,0.007919999999999927,0.010270714285714291,59.817729308372996,0
2015.10.30,1.53114,1.54677,1.53086,1.54238,0.01590999999999987,0.01095571428571429,60.06180131345295,0
2015.11.02,1.54464,1.54969,1.54039,1.541,0.009300000000000086,0.010282142857142875,65.62893368907508,0
2015.11.03,1.5412,1.54451,1.53594,1.54191,0.008569999999999967,0.009128571428571439,65.04603727722693,0
2015.11.04,1.5419,1.54448,1.53603,1.53822,0.008450000000000069,0.009057857142857149,64.5644677420664,0
2015.11.05,1.5382,1.54016,1.52048,1.52068,0.01967999999999992,0.01006357142857144,59.32219617884126,1
2015.11.06,1.52068,1.52189,1.50269,1.50447,0.019199999999999884,0.010940714285714288,41.837728690512016,1
2015.11.09,1.50463,1.5128,1.50408,1.51134,0.008719999999999839,0.011060714285714266,41.93210654868645,1
