date,symbol,volume,profit,PnL_per_lot,hour,day
2020-01-20 12:00:00,EURUSD,68.91,-592.16,-8.59,12:00:00,2020-01-20
2020-01-20 12:00:00,GBPUSD,95.93,482.08,5.03,12:00:00,2020-01-20
2020-01-20 12:00:00,USDJPY,5.96,-115.75,-19.42,12:00:00,2020-01-20
2020-01-20 12:00:00,XAUUSD,18.34,241.94,13.19,12:00:00,2020-01-20
2020-01-20 16:00:00,EURUSD,93.89,-142.95,-1.52,16:00:00,2020-01-20
2020-01-20 16:00:00,GBPUSD,36.42,2.58,0.07,16:00:00,2020-01-20
2020-01-20 16:00:00,USDJPY,6.93,-88.77,-12.81,16:00:00,2020-01-20
2020-01-20 16:00:00,XAUUSD,24.56,929.89,37.86,16:00:00,2020-01-20
2020-01-20 20:00:00,EURUSD,97.54,2785.78,28.56,20:00:00,2020-01-20
2020-01-20 20:00:00,GBPUSD,13.19,-412,-31.24,20:00:00,2020-01-20
2020-01-20 20:00:00,USDJPY,0.54,-1.14,-2.11,20:00:00,2020-01-20
2020-01-20 20:00:00,XAUUSD,0.18,-11.75,-65.28,20:00:00,2020-01-20
2020-01-21 00:00:00,EURUSD,15.61,48.79,3.13,00:00:00,2020-01-21
2020-01-21 00:00:00,GBPUSD,18.61,-81.12,-4.36,00:00:00,2020-01-21
2020-01-21 00:00:00,USDJPY,20.57,-526.8,-25.61,00:00:00,2020-01-21
2020-01-21 00:00:00,XAUUSD,16.78,198.99,11.86,00:00:00,2020-01-21
2020-01-21 04:00:00,EURUSD,136.14,-577.05,-4.24,04:00:00,2020-01-21
2020-01-21 04:00:00,GBPUSD,31.15,-378.62,-12.15,04:00:00,2020-01-21
2020-01-21 04:00:00,USDJPY,16.14,512.73,31.77,04:00:00,2020-01-21
2020-01-21 04:00:00,XAUUSD,23.41,335.49,14.33,04:00:00,2020-01-21
2020-01-21 08:00:00,EURUSD,358.06,-1440.73,-4.02,08:00:00,2020-01-21
2020-01-21 08:00:00,GBPUSD,184.82,597.73,3.23,08:00:00,2020-01-21
2020-01-21 08:00:00,USDJPY,26.44,944.45,35.72,08:00:00,2020-01-21
2020-01-21 08:00:00,XAUUSD,305.27,-34905.56,-114.34,08:00:00,2020-01-21
2020-01-21 12:00:00,EURUSD,214.59,-1062.35,-4.95,12:00:00,2020-01-21
2020-01-21 12:00:00,GBPUSD,135.16,2725.93,20.17,12:00:00,2020-01-21
2020-01-21 12:00:00,USDJPY,12.15,-311.16,-25.61,12:00:00,2020-01-21
2020-01-21 12:00:00,XAUUSD,78.11,822.7,10.53,12:00:00,2020-01-21
2020-01-21 16:00:00,EURUSD,100.23,659.51,6.58,16:00:00,2020-01-21
2020-01-21 16:00:00,GBPUSD,178.34,3126.32,17.53,16:00:00,2020-01-21
2020-01-21 16:00:00,USDJPY,45.45,1428.43,31.43,16:00:00,2020-01-21
