day,symbol_name,profit,volume,PnL/Lot,Coef,
5/1/2020,EURUSD,-107999.97,6148.58,-17.56502604,-0.00585,
5/4/2020,EURUSD,-30038.21,8398.71,-3.576526776,0.003156084,
5/5/2020,EURUSD,-76520.69,9880.38,-7.744710797,0.005719511,
5/6/2020,EURUSD,-63158.04,8763.12,-7.207254745,0.005304082,
5/7/2020,EURUSD,7570.68,9409.61,0.804568462,0.000889883,
5/8/2020,EURUSD,20438.01,7657.5,2.669018395,-0.00306994,
5/11/2020,EURUSD,-7632.86,7109.48,-1.073617808,0.001794351,
5/12/2020,EURUSD,-3179.82,7771.61,-0.409159059,-0.000977345,
5/13/2020,EURUSD,21117.24,7618.6,2.771800412,-0.001156435,
5/14/2020,EURUSD,-84186.56,7066.64,-11.91323671,0.003564438,
5/15/2020,EURUSD,48716.16,6859.74,7.101750522,-0.000946358,
5/18/2020,EURUSD,-98810.70,7033.71,-14.04816251,-0.004341273,
5/19/2020,EURUSD,-149655.46,6768.66,-22.11005756,-0.006209865,
5/20/2020,EURUSD,-76798.28,5965.14,-12.87451446,-0.002289738,
5/21/2020,EURUSD,-26493.99,7700.94,-3.440358041,-0.001232401,
5/22/2020,EURUSD,13628.82,6523.36,2.08923273,0.00421008,
5/25/2020,EURUSD,-27496.74,5089.24,-5.402916584,0.002623254,
5/26/2020,EURUSD,-59606.72,8525.09,-6.991916543,-0.004381294,
5/27/2020,EURUSD,16807.79,10340.86,1.625376127,-0.004339332,
5/28/2020,EURUSD,-179449.27,9475.06,-18.93911682,-0.004777896,
5/29/2020,EURUSD,-204652.57,9887.81,-20.6974619,-0.005069924,
6/1/2020,EURUSD,-85606.93,7882.18,-10.86081936,-0.002620178,
6/2/2020,EURUSD,-300026.02,9478.92,-31.65192073,-0.00249,
6/3/2020,EURUSD,-125228.49,9547.47,-13.11640578,-0.0047295,
6/4/2020,EURUSD,-307837.35,11820.59,-26.04246871,-0.006690523,
6/5/2020,EURUSD,-186721.79,8438.77,-22.12665952,-0.003525801,
6/8/2020,EURUSD,-19426.62,7528.37,-2.580454809,0.002429135,
6/9/2020,EURUSD,-266598.20,8708.51,-30.61352623,-0.001321568,
6/10/2020,EURUSD,-93414.88,9313.5,-10.03005127,-0.004861463,
6/11/2020,EURUSD,43496.02,9920.51,4.384454001,0.00201526,
6/12/2020,EURUSD,-103766.50,8829.06,-11.75283623,0.005769197,
6/15/2020,EURUSD,-270159.19,8746.72,-30.88691364,-0.000288,
6/16/2020,EURUSD,-41745.22,8518.32,-4.900640327,-0.001083947,
6/17/2020,EURUSD,59679.65,8622.59,6.921313125,0.003536174,
6/18/2020,EURUSD,8741.27,7374.7,1.185305079,0.002428776,
6/19/2020,EURUSD,28087.00,7140.67,3.933385074,0.002053781,
6/22/2020,EURUSD,-134455.72,7036.07,-19.10949172,-0.001763369,
6/23/2020,EURUSD,-90968.52,8308.08,-10.94940367,-0.006027237,
6/24/2020,EURUSD,-42362.41,7949.28,-5.329087047,0.000454041,
6/25/2020,EURUSD,-64137.24,7131.87,-8.993047159,0.004706445,
6/26/2020,EURUSD,54131.51,6717.39,8.05841409,0.001171044,
6/29/2020,EURUSD,-40540.86,7622.6,-5.318508183,-0.002117482,
6/30/2020,EURUSD,53913.78,7651.67,7.04601446,0.000867445,
7/1/2020,EURUSD,21374.42,7466.98,2.862525321,-0.000494205,
7/2/2020,EURUSD,6313.14,7764.04,0.813126109,-0.001586461,
7/3/2020,EURUSD,-19543.58,5499.42,-3.553753795,0.001575062,
7/6/2020,EURUSD,-268422.13,10678.02,-25.13781907,-0.004269834,
7/7/2020,EURUSD,38238.82,9342.51,4.092992064,-0.000852995,
7/8/2020,EURUSD,13122.39,8159.73,1.608188682,-0.000909823,
7/9/2020,EURUSD,-52119.71,10381.33,-5.020523192,-0.001068237,
7/10/2020,EURUSD,-6590.06,8271.27,-0.796740855,0.002293264,
7/13/2020,EURUSD,9419.37,11490.63,0.819743267,-0.003558522,
7/14/2020,EURUSD,-110586.24,11399.07,-9.701338565,-0.00338924,
7/15/2020,EURUSD,-372513.12,11745.36,-31.71576841,-0.00395,
7/16/2020,EURUSD,43321.79,11904.79,3.639022072,0.00112807,
7/17/2020,EURUSD,-25662.22,8740.82,-2.935905277,-0.000616205,
7/20/2020,EURUSD,-23142.20,13546.61,-1.708338606,-0.002281404,
7/21/2020,EURUSD,-639650.11,15504.32,-41.2562508,-0.004279101,
7/22/2020,EURUSD,-426871.96,12593.05,-33.89742438,-0.005967829,
7/23/2020,EURUSD,-156580.92,11454.39,-13.66994851,-0.002731383,
7/24/2020,EURUSD,-48724.29,10003.37,-4.870787997,-0.003393057,
7/27/2020,EURUSD,-647138.01,13103.47,-49.38676614,-0.007014849,
7/28/2020,EURUSD,-106422.65,10568.03,-10.07024509,-0.00259,
7/29/2020,EURUSD,-78151.94,11809.5,-6.617717902,-0.001932484,
7/30/2020,EURUSD,-211263.76,13340.92,-15.83577149,-0.004070167,
7/31/2020,EURUSD,-380275.36,12360.61,-30.76509673,-0.001507947,
8/3/2020,EURUSD,-203538.81,11718.2,-17.36946048,0.005532094,
8/4/2020,EURUSD,-85984.32,12564.72,-6.843313299,-0.001390717,
8/5/2020,EURUSD,-135354.16,11929,-11.34664738,-0.005737766,
8/6/2020,EURUSD,-45927.60,12345.1,-3.720309984,-0.002278212,
8/7/2020,EURUSD,-85464.94,11126.11,-7.68147493,0.003663397,
8/10/2020,EURUSD,-52683.94,9390.73,-5.610207189,0.004985654,
8/11/2020,EURUSD,-11650.61,11241.26,-1.03641517,0.001168723,
8/12/2020,EURUSD,-79646.74,9423.83,-8.451631447,-0.000957347,
8/13/2020,EURUSD,-164569.15,9211.7,-17.86523153,-0.004068021,
8/14/2020,EURUSD,-32105.93,7866.31,-4.081447292,-0.000920804,
8/17/2020,EURUSD,9606.47,9280.94,1.035075101,-0.002812743,
8/18/2020,EURUSD,-447613.50,11422.81,-39.18593593,-0.004416063,
8/19/2020,EURUSD,-92723.10,10890,-8.51451772,0.001631421,
8/20/2020,EURUSD,-41271.20,10492.42,-3.933430368,0.003842312,
8/21/2020,EURUSD,-248017.63,10070.55,-24.62801245,0.001577054,
8/24/2020,EURUSD,16229.18,9064.78,1.790355394,0.001729676,
8/25/2020,EURUSD,27549.36,10529.2,2.616472683,-0.000881164,
8/26/2020,EURUSD,5535.47,10140.54,0.545875077,-0.000471939,
8/27/2020,EURUSD,90987.90,12554.76,7.247282928,-0.000836,
8/28/2020,EURUSD,-138266.67,11488.88,-12.034826,-0.002984336,
8/31/2020,EURUSD,-114258.55,11312.53,-10.10017618,-0.004758202,
9/1/2020,EURUSD,-114039.10,12074.92,-9.444294635,-0.00158345,
9/2/2020,EURUSD,-119156.16,11224.88,-10.6153619,0.005010868,
9/3/2020,EURUSD,-26295.64,12265.17,-2.143927785,0.00337985,
9/4/2020,EURUSD,28816.93,11315.59,2.546657731,0.000568034,
9/7/2020,EURUSD,58956.28,8014.03,7.356633465,0.000291574,
9/8/2020,EURUSD,10441.15,14313.51,0.729461403,0.002893338,
9/9/2020,EURUSD,-28549.05,12616.45,-2.262843257,0.00036,
9/10/2020,EURUSD,-64053.12,14446.06,-4.433950702,-0.003528287,
9/11/2020,EURUSD,-20632.01,9042.02,-2.281792252,-0.000287356,
9/14/2020,EURUSD,-1686.31,9595.81,-0.175734264,-0.001544093,
9/15/2020,EURUSD,63557.78,11397.02,5.576701251,-0.000643259,
