day,symbol,spread
2023-01-17,XRPUSD.test,0.0010200000000000209
2023-02-26,XRPUSD.test,0.00030000000000002247
2022-08-09,XAUUSD.fix,0.79999999999995453
2022-08-17,USDCHF.fix,0.00039999999999995595
2022-08-26,NZDUSD.fix,0.00039999999999995595
2022-08-28,NZDUSD.fix,0.00039999999999995595
2022-09-09,EURUSD.fix,0.00019999999999997797
2022-09-09,XAGUSD.fix,0.059999999999998721
2022-09-14,EURUSD.fix,0.00019999999999997797
2022-09-27,GBPUSD.fix,0.00029999999999996696
2022-09-29,USDCHF.fix,0.00039999999999995595
2022-10-27,GBPUSD.fix,0.00029999999999996696
2022-10-30,NZDUSD.fix,0.00039999999999995595
2022-10-30,XAGUSD.fix,0.059999999999998721
2022-11-15,GBPJPY.fix,0.0800000000000125
2022-11-18,EURJPY.fix,0.039999999999992042
2022-12-09,NZDUSD.fix,0.00039999999999995595
2022-12-13,GBPUSD.fix,0.00029999999999996696
2022-12-13,XAGUSD.fix,0.059999999999998721
2022-12-18,USDCAD.fix,0.00039999999999995595
2022-12-18,XRPUSD.test,0.00030000000000002247
2022-08-02,AUDUSD.fix,0.00039999999999995595
2022-08-18,EURJPY.fix,0.039999999999992042
2022-09-14,USDJPY.fix,0.030000000000001137
2022-09-20,EURUSD.fix,0.00019999999999997797
2022-10-06,EURUSD.fix,0.00019999999999997797
2022-10-21,XAUUSD.fix,0.79999999999995453
2022-11-07,USDCHF.fix,0.00039999999999995595
2022-12-13,XAUUSD.fix,0.79999999999995453
2022-12-18,NZDUSD.fix,0.00039999999999995595
2022-12-20,GBPJPY.fix,0.0800000000000125
2022-12-20,USDJPY.fix,0.030000000000001137
2023-01-27,XRPUSD.test,0.0010200000000000209
2022-08-14,EURGBP.fix,0.00029999999999996696
2022-08-14,USDCHF.fix,0.00039999999999995595
2022-08-24,NZDUSD.fix,0.00039999999999995595
2022-09-19,AUDUSD.fix,0.00039999999999995595
2022-09-19,USDCAD.fix,0.00039999999999995595
2022-09-27,XAGUSD.fix,0.059999999999998721
2022-10-02,GBPJPY.fix,0.0800000000000125
2022-11-09,GBPUSD.fix,0.00029999999999996696
2023-01-23,TRXUSD,0.00023999999999999716
2023-01-31,TRXUSD,0.00023999999999999716
2022-08-16,GBPUSD.fix,0.00029999999999996696
2022-08-28,USDCAD.fix,0.00039999999999995595
2022-09-04,EURJPY.fix,0.039999999999992042
2022-09-05,GBPUSD.fix,0.00029999999999996696
2022-09-16,NZDUSD.fix,0.00039999999999995595
2022-10-07,NZDUSD.fix,0.00039999999999995595
2022-10-09,GBPJPY.fix,0.0800000000000125
2022-10-14,EURGBP.fix,0.00029999999999996696
2022-10-24,AUDUSD.fix,0.00039999999999995595
2022-10-27,USDJPY.fix,0.030000000000001137
2022-11-08,GBPJPY.fix,0.0800000000000125
2022-11-25,EURGBP.fix,0.00029999999999996696
2022-11-30,GBPJPY.fix,0.0800000000000125
2022-12-11,USDJPY.fix,0.030000000000001137
2022-12-13,NZDUSD.fix,0.00039999999999995595
2022-12-22,USDCHF.fix,0.00039999999999995595
2023-02-03,XRPUSD.test,0.0010200000000000209
2023-02-05,TWTUSD,0.0019299999999999873
2023-02-05,TWTUSD,0.0020299999999999763
2022-08-09,XAGUSD.fix,0.059999999999998721
2022-08-11,EURGBP.fix,0.00029999999999996696
2022-08-22,EURJPY.fix,0.039999999999992042
2022-08-26,USDCAD.fix,0.00039999999999995595
2022-08-30,USDJPY.fix,0.030000000000001137
2022-09-20,USDJPY.fix,0.030000000000001137
2022-09-28,USDCAD.fix,0.00039999999999995595
2022-10-12,GBPUSD.fix,0.00029999999999996696
2022-10-13,USDCHF.fix,0.00039999999999995595
2022-10-23,EURGBP.fix,0.00029999999999996696
2022-11-01,GBPJPY.fix,0.0800000000000125
2022-11-02,GBPUSD.fix,0.00029999999999996696
2022-12-08,USDCHF.fix,0.00039999999999995595
2022-12-18,GBPUSD.fix,0.00029999999999996696
2022-12-21,USDCAD.fix,0.00039999999999995595
2022-12-24,XRPUSD.test,0.00030000000000002247
2022-12-28,XRPUSD.test,0.0010200000000000209
2022-12-30,XRPUSD.test,0.0010200000000000209
2023-01-29,TRXUSD,0.0002400000000000041
2023-02-21,TWTUSD,0.00099999999999988987
2022-08-23,EURJPY.fix,0.039999999999992042
2022-08-31,AUDUSD.fix,0.00039999999999995595
2022-09-02,XAGUSD.fix,0.059999999999998721
2022-09-04,XAGUSD.fix,0.059999999999998721
2022-09-14,NZDUSD.fix,0.00039999999999995595
2022-09-27,XAUUSD.fix,0.79999999999995453
2022-10-18,GBPJPY.fix,0.0800000000000125
2022-10-24,EURGBP.fix,0.00029999999999996696
2022-10-28,AUDUSD.fix,0.00039999999999995595
2022-11-17,USDCAD.fix,0.00039999999999995595
2022-11-24,GBPJPY.fix,0.0800000000000125
2022-12-18,AUDUSD.fix,0.00039999999999995595
2022-12-21,EURUSD.fix,0.00019999999999997797
2022-08-05,EURGBP.fix,0.00029999999999996696
2022-08-07,GBPJPY.fix,0.0800000000000125
2022-09-15,USDCHF.fix,0.00039999999999995595
2022-09-21,XAGUSD.fix,0.059999999999998721
2022-11-06,GBPJPY.fix,0.0800000000000125
2022-11-08,AUDUSD.fix,0.00039999999999995595
2022-11-23,AUDUSD.fix,0.00039999999999995595
2022-12-04,XRPUSD.test,0.0010100000000000109
2022-07-31,GBPUSD.fix,0.00029999999999996696
2022-08-05,GBPUSD.fix,0.00029999999999996696
2022-08-07,EURUSD.fix,0.00019999999999997797
2022-08-08,USDCAD.fix,0.00039999999999995595
2022-08-08,XAUUSD.fix,0.79999999999995453
