day,symbol_name,profit,volume,PnL/Lot,Coef
4/27/2021,USDJPY,-34063,1762.35,-19.328001,-2.91E-05
4/28/2021,USDJPY,-14002,1927.53,-7.264219,0.001132
4/29/2021,USDJPY,-9542,1446.43,-6.596902,-0.00033
4/30/2021,USDJPY,-15057,1170.85,-12.859587,-0.00015
5/3/2021,USDJPY,-12505,1924.46,-6.497878,0.001548
5/4/2021,USDJPY,25426,1700.45,14.952459,0.000133
5/5/2021,USDJPY,1005,1184.4,0.848824,0.000289
5/6/2021,USDJPY,3934,1614.66,2.436458,0.001282
5/7/2021,USDJPY,1298,1613.33,0.804761,0.000759
5/10/2021,USDJPY,-14724,1675.03,-8.7902,-0.0006
5/11/2021,USDJPY,-4987,1634.79,-3.050563,-0.00223
5/12/2021,USDJPY,-41177,1957.95,-21.030415,-1.20E-03
5/13/2021,USDJPY,-6111,1741.38,-3.509417,5.21E-05
5/14/2021,USDJPY,-9110,1359.01,-6.703338,-0.00054
5/17/2021,USDJPY,12609,1507.55,8.363981,-0.00095
5/18/2021,USDJPY,-10913,1421.61,-7.676388,1.58E-05
5/19/2021,USDJPY,35846,2184.39,16.409877,-0.00018
5/20/2021,USDJPY,-5336,986.79,-5.407044,0.000118
5/21/2021,USDJPY,-13703,1231.39,-11.128047,0.000425
5/24/2021,USDJPY,25331,1422.72,17.804889,0.000294
5/25/2021,USDJPY,1770,1439.2,1.229867,2.72E-04
5/26/2021,USDJPY,5310,1197.18,4.435351,0.000215
5/27/2021,USDJPY,-42571,1711.37,-24.875265,-0.00011
5/28/2021,USDJPY,-45191,1496.56,-30.196476,-0.00076
5/31/2021,USDJPY,12839,1285.86,9.984648,-0.00107
6/1/2021,USDJPY,-3352,1594.07,-2.102964,-0.00041
6/2/2021,USDJPY,10984,2158.98,5.087547,0.001077
6/3/2021,USDJPY,-64567,1608.98,-40.129281,0.000837
6/4/2021,USDJPY,43185,1644.88,26.254189,-0.0002
6/7/2021,USDJPY,-24926,1597.05,-15.607818,0.000308
6/8/2021,USDJPY,40265,1839.79,21.885579,2.81E-07
6/9/2021,USDJPY,29879,1553.47,19.233429,-2.91E-05
6/10/2021,USDJPY,21500,1573.75,13.661906,0.001132
6/11/2021,USDJPY,2973,1340.91,2.216913,-0.00033
6/14/2021,USDJPY,-18619,1242.1,-14.990225,-0.00015
6/15/2021,USDJPY,27549,4043.57,6.813107,0.001548
6/16/2021,USDJPY,-86448,3830.91,-22.565963,0.000133
6/17/2021,USDJPY,345137,3330.96,103.614737,0.000289
6/18/2021,USDJPY,-1808,2246.44,-0.804659,0.001282
6/21/2021,USDJPY,34661,2057.62,16.845069,7.59E-04
6/22/2021,USDJPY,4090,2832.88,1.443775,-0.0006
6/23/2021,USDJPY,-253032,3296.95,-76.747387,-0.00223
6/24/2021,USDJPY,28280,1889.6,14.965922,-1.20E-03
6/25/2021,USDJPY,19182,1476.99,12.98719,5.21E-05
6/28/2021,USDJPY,86213,2100.56,41.042971,-0.00054
6/29/2021,USDJPY,57368,2233.32,25.68748,-0.00095
6/30/2021,USDJPY,-4192,1840.64,-2.277697,1.58E-05
7/1/2021,USDJPY,-199969,2627.62,-76.102864,-0.00018
7/2/2021,USDJPY,-2513,2289.14,-1.097679,0.000118
7/5/2021,USDJPY,33689,1716.94,19.621446,0.000425
7/6/2021,USDJPY,-15331,1813.86,-8.452135,0.000294
7/7/2021,USDJPY,3251,2314.88,1.404342,2.72E-04
7/8/2021,USDJPY,-156674,2613.57,-59.946301,0.000215
7/9/2021,USDJPY,6891,1181.66,5.831435,-0.00011
7/12/2021,USDJPY,-3800,1152.76,-3.296542,-0.00076
7/13/2021,USDJPY,25444,3199.92,7.95157,-0.00107
7/14/2021,USDJPY,45060,1663.7,27.084146,-0.00041
7/15/2021,USDJPY,131970,3410,38.700854,0.001077
7/16/2021,USDJPY,20601,1475.37,13.96334,0.000837
7/19/2021,USDJPY,-82495,1730.36,-47.675308,-0.0002
7/20/2021,USDJPY,-1266,1529.57,-0.827809,0.000308
7/21/2021,USDJPY,-149469,1937.71,-77.136952,2.81E-07
7/22/2021,USDJPY,11328,1288.92,8.788706,-2.91E-05
7/23/2021,USDJPY,-32185,1541.16,-20.883833,0.001132
7/26/2021,USDJPY,48336,1973.29,24.495286,-0.00033
7/27/2021,USDJPY,-2476,2399.12,-1.0322,-0.00015
7/28/2021,USDJPY,19220,1691.18,11.364866,0.001548
7/29/2021,USDJPY,14542,1412.08,10.298244,0.000133
7/30/2021,USDJPY,6079,870.42,6.983496,0.000289
8/2/2021,USDJPY,-8598,1266.54,-6.788201,0.001282
8/3/2021,USDJPY,-93364,2815.64,-33.158898,0.000759
8/4/2021,USDJPY,133663,3068.07,43.565709,-0.0006
8/5/2021,USDJPY,26716,2037.67,13.11095,-0.00223
8/6/2021,USDJPY,-117658,1796.66,-65.487214,-1.20E-03
8/9/2021,USDJPY,24408,1958.13,12.464989,5.21E-05
8/10/2021,USDJPY,-64730,1224.37,-52.867805,-0.00054
8/11/2021,USDJPY,-23568,1806.97,-13.042587,-0.00095
8/12/2021,USDJPY,2065,863.91,2.390278,1.58E-05
8/13/2021,USDJPY,34978,1382.16,25.306922,-0.00018
8/16/2021,USDJPY,-12746,1974.47,-6.455257,0.000118
8/17/2021,USDJPY,39186,1834.77,21.357472,0.000425
8/18/2021,USDJPY,41360,2042.55,20.249302,0.000294
8/19/2021,USDJPY,10228,1658.58,6.166633,2.72E-04
8/20/2021,USDJPY,-11870,991.48,-11.971939,0.000215
8/23/2021,USDJPY,9118,1596.49,5.711264,-0.00011
