day,symbol_name,profit,volume,PnL/Lot,Coef
04/13/2021,XAUUSD,"-453 036,45","19034,27",-23.801094,"0,001542"
04/14/2021,XAUUSD,"242 577,21","13140,67",18.460034,"0,001037"
04/15/2021,XAUUSD,"-3 101 586,63","18784,89",-165.110716,"-7,64E-05"
04/16/2021,XAUUSD,"-1 491 700,55","12611,37",-118.282197,"-0,00123"
04/19/2021,XAUUSD,"-898 130,96","12483,95",-71.942851,"0,000842"
04/20/2021,XAUUSD,"37 636,71","12270,37",3.067284,"0,00118"
04/21/2021,XAUUSD,"-394 863,12","13330,75",-29.620473,"4,10E-05"
04/22/2021,XAUUSD,"-137 090,91","13774,51",-9.952507,"-0,00178"
04/23/2021,XAUUSD,"-187 042,59","12440,4",-15.035095,"-0,00429"
04/26/2021,XAUUSD,"215 308,12","12011,08",17.925792,"-0,00046"
04/27/2021,XAUUSD,"496 955,88","13780,99",36.060971,"0,000389"
04/28/2021,XAUUSD,"-497 571,84","16003,6",-31.091244,"-0,00231"
04/29/2021,XAUUSD,"-437 603,50","16422,75",-26.646177,"-0,0006"
04/30/2021,XAUUSD,"491 719,77","12166,77",40.41498,"0,001116"
05/03/2021,XAUUSD,"-1 337 889,88","15263,62",-87.6522,"0,000465"
05/04/2021,XAUUSD,"826 525,39","18785,96",43.996974,"0,001534"
05/05/2021,XAUUSD,"473 344,89","14159,33",33.429893,"0,001046"
05/06/2021,XAUUSD,"-2 699 601,49","17343,99",-155.650544,"-0,00087"
05/07/2021,XAUUSD,"-3 563 459,29","18388,05",-193.792125,"-0,00171"
05/10/2021,XAUUSD,"-70 160,52","14426,95",-4.863157,"0,002204"
05/11/2021,XAUUSD,"-64 544,00","16853,52",-3.829705,"0,001856"
05/12/2021,XAUUSD,"218 442,71","19707,84",11.084051,"0,000331"
05/13/2021,XAUUSD,"-224 861,85","16622,54",-13.527527,"0,002434"
05/14/2021,XAUUSD,"-735 294,71","13879,14",-52.978406,"0,000449"
05/17/2021,XAUUSD,"-2 161 852,74","15030,53",-143.830772,"-0,00048"
05/18/2021,XAUUSD,"-1 006 856,15","11940,47",-84.322991,"-0,00141"
05/19/2021,XAUUSD,"-1 016 599,77","19746,44",-51.482686,"-0,00182"
05/20/2021,XAUUSD,"273 977,03","13047,5",20.998431,"-0,00088"
05/21/2021,XAUUSD,"299 138,07",14082,21.242584,"-0,00029"
