date,open,high,low,close,trend
2019.04.05,111.666,111.816,111.53,111.684,0
2019.04.08,111.695,111.743,111.277,111.489,0
2019.04.09,111.457,111.574,110.973,111.134,0
2019.04.10,111.126,111.27,110.838,111.008,0
2019.04.11,110.985,111.688,110.892,111.652,0
2019.04.12,111.635,112.087,111.578,111.993,0
2019.04.15,111.945,112.087,111.879,112.028,0
2019.04.16,111.997,112.037,111.839,112.008,0
2019.04.17,111.98,112.158,111.913,112.052,0
2019.04.18,112.024,112.06,111.756,111.952,0
2019.04.19,111.935,111.999,111.887,111.902,0
2019.04.22,111.825,111.984,111.825,111.926,0
2019.04.23,111.905,112.027,111.642,111.858,1
2019.04.24,111.846,112.395,111.676,112.186,1
2019.04.25,112.117,112.233,111.364,111.609,1
2019.04.26,111.588,112.016,111.423,111.51,1
2019.04.29,111.533,111.894,111.533,111.634,1
2019.04.30,111.633,111.686,111.231,111.428,1
2019.05.01,111.407,111.609,111.042,111.375,1
2019.05.02,111.362,111.662,111.344,111.502,1
2019.05.03,111.481,111.688,111.063,111.076,1
2019.05.06,110.628,110.953,110.276,110.857,1
2019.05.07,110.588,110.848,110.164,110.239,1
2019.05.08,110.215,110.283,109.897,110.09,1
2019.05.09,110.087,110.102,109.465,109.758,1
2019.05.10,109.731,110.044,109.466,109.945,1
2019.05.13,109.763,109.833,109.014,109.303,1
2019.05.14,109.28,109.767,109.14,109.602,1
2019.05.15,109.613,109.697,109.148,109.581,1
2019.05.16,109.576,109.959,109.331,109.836,1
2019.05.17,109.837,110.188,109.488,110.034,1
2019.05.20,110.085,110.313,109.803,110.056,1
2019.05.21,110.073,110.668,110.001,110.478,1
2019.05.22,110.483,110.621,110.233,110.348,0
2019.05.23,110.263,110.359,109.453,109.594,0
2019.05.24,109.588,109.74,109.268,109.28,0
2019.05.27,109.29,109.579,109.274,109.453,0
2019.05.28,109.469,109.624,109.204,109.363,0
2019.05.29,109.352,109.694,109.145,109.585,0
2019.05.30,109.563,109.922,109.468,109.611,0
2019.05.31,109.569,109.617,108.273,108.274,0
2019.06.03,108.286,108.441,107.878,108.055,0
2019.06.04,108.077,108.353,107.84,108.141,0
2019.06.05,108.131,108.48,107.809,108.448,0
2019.06.06,108.455,108.557,108.02,108.38,0
2019.06.07,108.385,108.612,107.875,108.155,0
2019.06.10,108.447,108.71,108.306,108.445,0
2019.06.11,108.423,108.795,108.345,108.509,0
2019.06.12,108.511,108.559,108.213,108.501,0
2019.06.13,108.492,108.532,108.159,108.38,0
2019.06.14,108.33,108.583,108.153,108.55,0
2019.06.17,108.478,108.72,108.456,108.523,0
2019.06.18,108.527,108.669,108.055,108.435,0
2019.06.19,108.437,108.612,107.893,108.095,0
2019.06.20,108.091,108.138,107.207,107.298,0
2019.06.21,107.273,107.728,107.042,107.3,0
2019.06.24,107.303,107.531,107.242,107.288,0
2019.06.25,107.274,107.406,106.772,107.151,0
2019.06.26,107.155,107.844,107.092,107.775,0
2019.06.27,107.716,108.155,107.631,107.757,0
2019.06.28,107.76,107.931,107.556,107.897,0
2019.07.01,108.155,108.526,108.093,108.422,0
2019.07.02,108.432,108.469,107.761,107.897,0
2019.07.03,107.869,107.917,107.527,107.82,0
2019.07.04,107.778,107.837,107.702,107.813,0
2019.07.05,107.807,108.631,107.775,108.455,0
2019.07.08,108.387,108.798,108.275,108.722,0
2019.07.09,108.713,108.958,108.659,108.846,0
2019.07.10,108.848,108.985,108.339,108.454,0
2019.07.11,108.424,108.526,107.853,108.483,0
2019.07.12,108.469,108.603,107.796,107.886,0
2019.07.15,107.912,108.103,107.792,107.901,0
2019.07.16,107.883,108.371,107.815,108.22,0
2019.07.17,108.233,108.322,107.93,107.934,0
2019.07.18,107.934,108.011,107.205,107.291,1
2019.07.19,107.28,107.973,107.211,107.683,1
2019.07.22,107.747,108.064,107.694,107.86,1
2019.07.23,107.857,108.283,107.82,108.214,1
2019.07.24,108.196,108.269,107.927,108.171,1
2019.07.25,108.149,108.75,108.032,108.626,1
2019.07.26,108.619,108.82,108.556,108.662,1
2019.07.29,108.622,108.894,108.414,108.772,1
2019.07.30,108.771,108.943,108.447,108.591,1
2019.07.31,108.577,108.995,108.485,108.758,1
2019.08.01,108.684,109.311,107.248,107.305,1
2019.08.02,107.272,107.562,106.503,106.595,1
2019.08.05,106.522,106.676,105.78,105.944,1
2019.08.06,105.941,107.083,105.515,106.442,1
2019.08.07,106.431,106.459,105.49,106.262,1
