date,open,high,low,close,TR,ATR,NATR,CHOP
2015.12.22,1078.21,1080.65,1071.73,1072.36,8.92,17.23928571,0.016076025,-305.0700882
2015.12.23,1073,1075.42,1068.16,1070.01,7.26,16.38357143,0.015311606,-302.5855416
2015.12.24,1070.16,1076.91,1070.06,1076.05,6.9,14.68642857,0.013648463,-298.0060333
2015.12.28,1075.6,1076.79,1066.36,1068.93,10.43,13.965,0.013064466,-296.1755923
2015.12.29,1068.72,1075.32,1067.35,1068.75,7.97,13.71071429,0.012828739,-295.7877875
2015.12.30,1068.83,1072.22,1059.3,1061.21,12.92,13.475,0.01269777,-295.4576613
2015.12.31,1061.27,1063.44,1058.14,1060.95,5.3,13.34214286,0.012575657,-295.4138454
2016.01.04,1065.8,1083.53,1061.74,1074.4,22.58,13.72928571,0.012778561,-296.9104344
2016.01.05,1073.2,1081.97,1072.54,1077.23,9.43,13.05714286,0.012121035,-295.434256
2016.01.06,1077.48,1095.15,1074.84,1093.47,20.31,13.80928571,0.012628866,-298.4426717
2016.01.07,1093.82,1110.13,1091.31,1108.62,18.82,13.90714286,0.012544553,-299.4996778
2016.01.08,1109,1113.06,1091.9,1103.82,21.16,13.61428571,0.012333791,-299.5032308
2016.01.11,1104.03,1108.48,1093.51,1093.91,14.97,13.20428571,0.012070724,-299.1946183
2016.01.12,1094.53,1099.08,1083.41,1086.6,15.67,13.04571429,0.012005995,-299.7888017
2016.01.13,1087.27,1095.5,1079.72,1093.04,15.78,13.53571429,0.012383549,-302.2841904
2016.01.14,1093.28,1095.3,1071.36,1077.98,23.94,14.72714286,0.013661796,-306.3657145
2016.01.15,1078.87,1097.31,1076.18,1088.67,21.13,15.74357143,0.014461289,-309.0869507
2016.01.18,1090.22,1093.25,1087.45,1089.19,5.8,15.41285714,0.014150752,-307.8975872
2016.01.19,1088.91,1094.45,1082.54,1087.07,11.91,15.69428571,0.014437236,-308.2982987
2016.01.20,1087.73,1109.57,1087.49,1100.69,22.5,16.37857143,0.014880276,-309.5574285
2016.01.21,1100.81,1104.5,1092.39,1100.82,12.11,16.865,0.015320398,-310.1886815
2016.01.22,1101.3,1102.76,1094.02,1097.7,8.74,15.87642857,0.014463358,-307.3142437
2016.01.25,1097.68,1108.95,1097.18,1107.73,11.77,16.04357143,0.014483287,-307.2260838
2016.01.26,1108.23,1122.9,1106.88,1119.87,16.02,15.73714286,0.014052652,-306.0624567
2016.01.27,1119.9,1128.07,1114.83,1124.6,13.24,15.33857143,0.013639135,-304.6983521
2016.01.28,1125.12,1125.82,1111.43,1114.65,14.39,14.855,0.013327053,-303.080664
2016.01.29,1114.82,1118.5,1108.23,1117.98,10.27,14.51928571,0.012987071,-301.8805385
2016.02.01,1117.04,1129.74,1115.33,1128.26,14.41,14.42928571,0.012788972,-301.4352369
2016.02.02,1128.34,1130.95,1122.29,1128.77,8.66,13.92071429,0.01233264,-299.8849374
2016.02.03,1128.81,1145.48,1124.32,1142.25,21.16,13.72214286,0.012013257,-299.6283637
2016.02.04,1141.71,1157.31,1139.53,1155.27,17.78,13.48285714,0.011670741,-299.4940842
2016.02.05,1155.31,1174.5,1145.12,1173.18,29.38,15.16714286,0.012928232,-304.8965567
2016.02.08,1170.74,1200.88,1164.13,1188.85,36.75,16.94142857,0.014250266,-309.7531058
2016.02.09,1190.47,1198.95,1185.66,1188.84,13.29,16.28357143,0.013697025,-308.3825925
2016.02.10,1189.12,1197.71,1181.45,1197.09,16.26,16.58,0.013850254,-309.5071118
2016.02.11,1196.2,1263.39,1195.9,1246.52,67.49,20.77642857,0.016667545,-318.795435
2016.02.12,1246.97,1248.22,1232.37,1238.14,15.85,21.06785714,0.017015731,-318.8213782
2016.02.15,1232.8,1234.77,1201.94,1208.91,32.83,22.26857143,0.018420372,-320.2477534
2016.02.16,1208.9,1216.86,1190.9,1199.56,25.96,23.17714286,0.01932137,-320.7407745
2016.02.17,1201.42,1213.72,1195.6,1208.14,18.12,23.44357143,0.019404681,-319.9451629
2016.02.18,1208.93,1239.98,1200.67,1230.82,39.31,25.51785714,0.020732404,-322.0344972
2016.02.19,1230.4,1234.49,1219.88,1227.39,14.61,25.53214286,0.020801981,-320.4703082
2016.02.22,1225.46,1226.18,1201.8,1208.66,24.38,26.655,0.022053348,-320.4872996
2016.02.23,1209.13,1228.28,1207.1,1226.92,21.18,26.65642857,0.021726297,-318.7146183
2016.02.24,1225.47,1253.15,1221.77,1228.78,31.38,27.62785714,0.022483974,-318.3748365
2016.02.25,1228.11,1243.26,1221.03,1232.86,22.23,27.11714286,0.021995314,-316.0374105
2016.02.26,1231.8,1240.27,1211.45,1223.29,28.82,26.55071429,0.02170435,-313.904216
2016.02.29,1219.76,1241.12,1215.55,1238.43,25.57,27.42785714,0.022147281,-313.9767851
2016.03.01,1238.12,1248.45,1227.02,1232.03,21.43,27.79714286,0.022562067,-313.2190745
2016.03.02,1230.89,1244.02,1224.67,1239.69,19.35,24.35857143,0.019648921,-307.0354762
2016.03.03,1239.57,1268.3,1237.29,1264,31.01,25.44142857,0.020127712,-308.4609155
2016.03.04,1263.11,1279.71,1250.15,1258.69,29.56,25.20785714,0.020027058,-307.8229663
2016.03.07,1260.64,1273.11,1256.64,1267.08,16.47,24.53,0.019359472,-306.6335142
2016.03.08,1266.26,1278,1260.17,1261.37,17.83,24.50928571,0.019430687,-306.5929936
2016.03.09,1260.72,1264.82,1242.89,1252.95,21.93,23.26785714,0.018570459,-304.6552337
2016.03.10,1252.47,1273.3,1236.85,1272,36.45,24.82785714,0.019518756,-307.664376
2016.03.11,1270.18,1282.69,1248.13,1249.03,34.56,25.555,0.020459877,-309.1562153
2016.03.14,1250.78,1261.04,1229.2,1234.92,31.84,26.31642857,0.021310229,-310.4937267
2016.03.15,1235.4,1238.05,1225.58,1232.35,12.47,24.96571429,0.020258623,-308.5407366
2016.03.16,1232.6,1263.9,1226.55,1262.27,37.35,26.04571429,0.020634028,-310.5863599
2016.03.17,1259.87,1270.89,1254.4,1257.72,16.49,25.165,0.020008428,-309.3509386
2016.03.18,1258.47,1266.79,1247.7,1255.27,19.09,24.70214286,0.019678749,-308.9237623
2016.03.21,1255.52,1255.52,1240.51,1243.39,15.01,24.24357143,0.019497962,-308.5851154
2016.03.22,1243.64,1260.23,1242.31,1248.01,17.92,24.14142857,0.019343938,-308.4493322
2016.03.23,1247.57,1249.37,1215.2,1219.79,34.17,24.36714286,0.019976506,-308.8771054
2016.03.24,1222.81,1223.64,1212.27,1216.82,11.37,23.06785714,0.018957493,-306.6647353
2016.03.28,1215.13,1223.11,1207.78,1221.36,15.33,22.98642857,0.018820355,-306.5957662
2016.03.29,1220.81,1242.9,1215.23,1241.95,27.67,23.68928571,0.019074267,-307.9598383
2016.03.30,1240.99,1244.05,1223.16,1224.67,20.89,23.615,0.019282746,-307.711545
2016.03.31,1226.09,1240.31,1223.62,1232.45,16.69,22.20357143,0.018015799,-305.2714687
2016.04.01,1231.87,1235.2,1208.88,1222.15,26.32,21.615,0.017686045,-304.5444787
2016.04.04,1220.44,1222.58,1214.56,1215.29,8.02,19.91357143,0.01638586,-301.7757328
2016.04.05,1215.11,1236.7,1214.74,1230.97,21.96,20.59142857,0.016727807,-303.8062585
2016.04.06,1231.45,1232.15,1216.64,1222.16,15.51,19.03142857,0.015571962,-301.2252852
2016.04.07,1222.81,1243.24,1222.65,1240.14,21.08,19.35928571,0.015610565,-302.6321824
2016.04.08,1239.42,1242.69,1229.42,1239.56,13.27,18.94357143,0.015282497,-302.444078
2016.04.11,1240.52,1258.69,1240.37,1257.62,19.13,19.23785714,0.015297035,-303.7190266
2016.04.12,1258.51,1262.57,1251.12,1255.26,11.45,18.77571429,0.01495763,-303.4390702
2016.04.13,1255.52,1256.63,1239.75,1242.48,16.88,17.54071429,0.014117502,-301.5349242
2016.04.14,1241.53,1244,1223.78,1227.59,20.22,18.17285714,0.014803686,-303.8524616
