date,open,high,low,close,CI,trend,in_progress
2016-02-22,1.4275,1.4306,1.4057,1.4149,51.18508902784024,0.0,0.5
2016-02-23,1.4149,1.4156,1.4007,1.4019,48.1645773018553,0.0,0.5
2016-02-24,1.4019,1.4027,1.3878,1.3924,45.41242932490144,0.0,0.5
2016-02-25,1.3922,1.3996,1.3899,1.3957,45.95546065509791,0.0,0.5
2016-02-26,1.3958,1.4043,1.3854,1.3873,44.58251800456729,0.0,0.5
2016-02-29,1.3853,1.3946,1.3835,1.3912,43.42299959571194,0.0,0.5
2016-03-01,1.3911,1.4018,1.3903,1.395,43.646288067121496,0.0,0.5
2016-03-02,1.3951,1.4092,1.3914,1.4075,43.42802248195511,0.0,0.5
2016-03-03,1.4076,1.4194,1.4032,1.4172,45.050199941114734,0.0,0.5
2016-03-04,1.4171,1.4248,1.4106,1.4222,46.02711915604774,0.0,0.5
2016-03-07,1.4215,1.4284,1.4133,1.4259,52.95568808539017,0.0,0.5
2016-03-08,1.4259,1.4275,1.4173,1.4211,52.67557047525189,0.0,0.5
2016-03-09,1.4211,1.4241,1.4177,1.421,52.45626051030077,0.0,0.5
2016-03-10,1.421,1.4316,1.4117,1.4276,58.206286771450614,0.0,0.5
2016-03-11,1.4278,1.4436,1.4254,1.4376,49.239803517630385,0.0,0.5
2016-03-14,1.4371,1.4389,1.4292,1.4298,48.78642693296611,0.0,0.5
2016-03-15,1.4299,1.4305,1.4138,1.4151,48.338879587019015,0.0,0.5
2016-03-16,1.4151,1.4273,1.4052,1.425,48.0966585901414,0.0,0.5
2016-03-17,1.4249,1.4502,1.4221,1.4471,44.03184903677412,0.0,0.5
2016-03-18,1.4472,1.4514,1.441,1.4476,47.263228278448246,0.0,0.5
2016-03-21,1.4456,1.4468,1.4365,1.4367,47.894320160039186,0.0,0.5
2016-03-22,1.4367,1.4398,1.4191,1.4212,56.17561776752173,0.0,0.0
2016-03-23,1.4211,1.4228,1.4081,1.4116,57.70105054132451,0.0,0.0
2016-03-24,1.4116,1.4183,1.4056,1.4152,57.576903541502176,0.0,0.0
2016-03-25,1.4152,1.4156,1.4108,1.413,57.43305076094445,0.0,0.0
2016-03-28,1.4126,1.4282,1.4119,1.4253,57.36994303294111,0.0,0.0
2016-03-29,1.4253,1.4403,1.4194,1.438,57.58843946932136,0.0,0.0
2016-03-30,1.4375,1.4459,1.436,1.4376,57.615342984323526,0.0,0.0
2016-03-31,1.4375,1.4425,1.4325,1.4358,57.731704658210376,0.0,0.0
2016-04-01,1.436,1.4371,1.417,1.4221,58.045754021936794,0.0,0.0
2016-04-04,1.4219,1.4322,1.4191,1.4262,58.289346080963554,0.0,0.0
2016-04-05,1.4256,1.4278,1.4121,1.4158,58.625136488313885,0.0,0.0
2016-04-06,1.4159,1.4171,1.4005,1.4121,54.369562665680284,0.0,0.0
2016-04-07,1.412,1.4157,1.4049,1.4056,57.71610759228492,0.0,0.0
2016-04-08,1.4056,1.4141,1.404,1.4121,58.20801526888635,0.0,0.0
2016-04-11,1.4113,1.4286,1.4105,1.4235,57.8833103379199,0.0,0.0
2016-04-12,1.4234,1.4348,1.4197,1.4274,57.58059112890025,0.0,0.0
2016-04-13,1.4272,1.4279,1.4192,1.4201,57.24254538454333,0.0,0.0
2016-04-14,1.4201,1.4206,1.4089,1.4151,57.12918995832996,0.0,0.0
2016-04-15,1.4151,1.4241,1.4132,1.4199,56.862924605273385,0.0,0.0
2016-04-18,1.4195,1.4291,1.4131,1.4275,56.33415175938169,0.0,0.0
2016-04-19,1.4275,1.4419,1.427,1.4393,58.95206419710403,0.0,0.0
2016-04-20,1.4394,1.441,1.4328,1.4328,59.25034156605584,0.0,0.0
2016-04-21,1.4329,1.444,1.4299,1.4321,56.900226348154966,0.0,0.0
2016-04-22,1.4321,1.4452,1.431,1.44,55.453763338344196,0.0,0.0
2016-04-25,1.4461,1.4519,1.4402,1.4479,49.7784498053212,0.0,0.0
2016-04-26,1.4479,1.4639,1.4477,1.4579,43.75087563869554,0.0,0.0
2016-04-27,1.4578,1.4621,1.4472,1.4539,43.573868443474346,0.0,0.0
2016-04-28,1.454,1.4623,1.4522,1.4606,46.64425948962004,0.0,0.0
2016-04-29,1.4601,1.467,1.4576,1.4607,44.314216152048175,0.0,0.0
2016-05-02,1.4581,1.4696,1.4581,1.4672,42.34306186235464,0.0,0.0
2016-05-03,1.4671,1.477,1.4528,1.4534,37.954992575174714,0.0,0.0
2016-05-04,1.4532,1.4571,1.446,1.4492,40.22821041054261,0.0,0.0
2016-05-05,1.4492,1.4529,1.4443,1.4483,40.134330354669736,0.0,0.0
2016-05-06,1.4483,1.4549,1.4415,1.4424,49.36891354844093,0.0,0.0
2016-05-09,1.4414,1.4479,1.4374,1.4406,51.43386816288686,0.0,0.0
2016-05-10,1.4406,1.4478,1.4389,1.444,51.2708519546946,0.0,0.0
2016-05-11,1.4439,1.4488,1.4394,1.4446,52.021973375296064,0.0,0.0
2016-05-12,1.4444,1.453,1.4406,1.4448,57.51039669738736,0.0,0.0
2016-05-13,1.4447,1.4452,1.434,1.435,54.24656661959136,0.0,0.0
2016-05-16,1.4348,1.4414,1.4332,1.4398,53.29002702630734,0.0,0.0
2016-05-17,1.4398,1.4524,1.4394,1.446,52.938627430653966,0.0,0.0
2016-05-18,1.4458,1.4634,1.4403,1.4596,52.783955316807415,0.0,0.0
2016-05-19,1.4596,1.4663,1.4561,1.4608,52.77474697698834,0.0,0.0
2016-05-20,1.4608,1.4613,1.4485,1.4495,52.84069068431559,0.0,0.0
2016-05-23,1.4503,1.4549,1.4442,1.4483,63.07398306454024,0.0,0.0
2016-05-24,1.4484,1.4642,1.4471,1.4632,62.792808889749686,0.0,0.0
2016-05-25,1.463,1.473,1.4601,1.4696,55.62824370466316,0.0,0.5
2016-05-26,1.4694,1.4739,1.464,1.4668,54.58616373397237,0.0,0.5
2016-05-27,1.4668,1.4689,1.4604,1.4613,54.42836432144226,0.0,0.5
2016-05-30,1.4602,1.4641,1.4588,1.4641,54.20156325516343,0.0,0.5
2016-05-31,1.4637,1.4724,1.4464,1.448,54.312754375478804,0.0,0.5
2016-06-01,1.448,1.4507,1.4385,1.4413,54.4489154446727,0.0,0.5
2016-06-02,1.4414,1.4472,1.44,1.442,54.53258563231761,0.0,0.5
2016-06-03,1.442,1.4582,1.4398,1.4511,60.187961390401185,0.0,0.0
2016-06-06,1.4467,1.4482,1.4352,1.4439,57.250097849835214,1.0,0.5
2016-06-07,1.4436,1.4657,1.4433,1.4542,57.47480518798912,1.0,0.5
2016-06-08,1.4543,1.46,1.45,1.4501,57.68292958629395,1.0,0.5
2016-06-09,1.4503,1.4527,1.4446,1.4454,57.79873842622143,1.0,0.5
2016-06-10,1.4454,1.4473,1.418,1.425,44.46405567003468,1.0,0.5
2016-06-13,1.4268,1.4328,1.4115,1.4259,40.85924878442152,1.0,0.5
2016-06-14,1.4266,1.4266,1.409,1.4108,39.931693514066836,1.0,0.0
2016-06-15,1.4109,1.4217,1.4083,1.4203,41.054603741825076,0.0,0.0
2016-06-16,1.42,1.4253,1.4012,1.4203,37.962409250758384,1.0,0.0
2016-06-17,1.4203,1.4388,1.4193,1.435,39.07245798530431,1.0,0.0
2016-06-20,1.4458,1.4718,1.4433,1.468,40.39508754354328,0.0,0.0
2016-06-21,1.4676,1.4783,1.4615,1.465,38.0956460849697,1.0,0.0
2016-06-22,1.4649,1.4774,1.4641,1.4707,39.231944055059095,1.0,0.0
2016-06-23,1.4707,1.4946,1.4698,1.4868,33.0218238329534,1.0,0.0
2016-06-24,1.4892,1.5016,1.3226,1.3659,11.246005302914144,1.0,0.0
2016-06-27,1.3426,1.3482,1.3119,1.322,12.053198673912124,1.0,0.0
2016-06-28,1.322,1.3419,1.3195,1.3341,14.960472041025962,1.0,0.0
2016-06-29,1.3342,1.3533,1.3286,1.3422,17.850702838239435,1.0,0.0
2016-06-30,1.3426,1.3495,1.3205,1.3308,20.378856777932075,1.0,0.0
2016-07-01,1.3307,1.3349,1.3243,1.3269,22.632022159057282,1.0,0.0
2016-07-04,1.3246,1.334,1.3239,1.328,24.668024348155097,1.0,0.0
2016-07-05,1.3279,1.3285,1.3,1.3022,24.37668934254858,1.0,0.0
2016-07-06,1.3022,1.3026,1.2795,1.2928,22.50801142749923,1.0,0.0
2016-07-07,1.2928,1.3047,1.2875,1.2905,24.120946187805156,1.0,0.0
2016-07-08,1.2905,1.3018,1.288,1.2949,25.458218714522488,1.0,0.0
2016-07-11,1.295,1.3018,1.285,1.2995,26.722219047736104,1.0,0.0
2016-07-12,1.2981,1.3294,1.2973,1.3246,28.01936723101731,1.0,0.0
2016-07-13,1.3244,1.3338,1.3133,1.3144,29.21330806715769,1.0,0.0
2016-07-14,1.3144,1.3475,1.3104,1.334,70.41397083836442,0.0,0.0
2016-07-15,1.334,1.348,1.3131,1.3173,69.56261720523565,0.0,0.0
2016-07-18,1.3193,1.3315,1.3187,1.3254,68.56820085605385,0.0,0.0
2016-07-19,1.3253,1.3274,1.3073,1.3105,69.4191009528557,0.0,0.0
2016-07-20,1.3106,1.3227,1.3065,1.3202,68.97162227468455,0.0,0.0
2016-07-21,1.32,1.3274,1.3155,1.3231,67.73884640520237,0.0,0.0
2016-07-22,1.3233,1.329,1.3078,1.3109,66.59159494588813,0.0,0.0
2016-07-25,1.3145,1.3164,1.3094,1.3135,65.15027892950766,0.0,0.0
2016-07-26,1.3135,1.3177,1.3057,1.3128,66.74904977863315,0.0,0.0
2016-07-27,1.3128,1.3234,1.3072,1.322,65.11816979477224,0.0,0.0
2016-07-28,1.3221,1.3248,1.3117,1.3161,63.593217115199366,0.0,0.0
2016-07-29,1.3161,1.3301,1.3147,1.3223,70.22314451881302,0.0,0.0
2016-08-01,1.3222,1.3272,1.3162,1.3173,75.06517922950373,0.0,0.0
2016-08-02,1.3172,1.3365,1.3171,1.3355,72.95933223837284,0.0,0.0
2016-08-03,1.3355,1.3371,1.328,1.3324,71.84017635570186,0.0,0.0
2016-08-04,1.3324,1.3345,1.3102,1.3105,82.06219153205038,0.0,0.0
2016-08-05,1.3105,1.3175,1.3021,1.3062,76.9447347656885,0.0,0.0
2016-08-08,1.3078,1.3096,1.3027,1.3039,75.82294752121511,0.0,0.0
2016-08-09,1.3039,1.3046,1.2955,1.3001,68.18234688194671,0.0,0.0
2016-08-10,1.3001,1.3094,1.299,1.3007,67.02410506286455,0.0,0.0
2016-08-11,1.3006,1.3028,1.2935,1.2955,63.78574013568957,0.0,0.0
2016-08-12,1.2955,1.3035,1.2903,1.2917,59.9154941199314,0.0,0.5
2016-08-15,1.2921,1.2945,1.2865,1.2874,55.819614199350404,0.0,0.5
2016-08-16,1.2876,1.3051,1.2875,1.3045,54.67830924486255,0.0,0.5
2016-08-17,1.3045,1.3086,1.2976,1.304,53.48330621276544,0.0,0.5
2016-08-18,1.3037,1.3172,1.3026,1.3164,52.25746819235813,0.0,0.5
2016-08-19,1.3161,1.3184,1.3023,1.3078,51.35378322320014,0.0,0.5
2016-08-22,1.3051,1.3157,1.3034,1.3134,50.343112394347976,0.0,0.5
2016-08-23,1.3133,1.321,1.3128,1.3194,51.69613547975265,0.0,0.5
2016-08-24,1.3193,1.3273,1.3161,1.323,57.16066419319334,0.0,0.5
2016-08-25,1.323,1.3263,1.3168,1.3188,56.347722335369355,0.0,0.5
2016-08-26,1.3188,1.328,1.3121,1.3129,55.211106068090466,0.0,0.5
2016-08-29,1.3113,1.3138,1.3059,1.3103,54.80332119499554,0.0,0.5
2016-08-30,1.3103,1.312,1.3059,1.3079,54.34760996602631,0.0,0.5
2016-08-31,1.3077,1.3158,1.3065,1.3136,54.07309456443787,0.0,0.5
2016-09-01,1.3135,1.3318,1.3128,1.3267,50.47038524840245,0.0,0.5
2016-09-02,1.3267,1.3353,1.3252,1.329,48.24671694967573,0.0,0.5
